Solar Radiation,UV Index,Relative humidity,Temperature,Data,Time
-1.4,0.01,85.13,30.74,2026/08/11,23:10:01
-1.4,0.01,85.96,30.6,2026/08/12,00:56:00
-1.4,0.01,86.56,30.44,2026/08/12,02:02:49
-1.4,0.01,84.29,30.19,2026/08/12,03:41:43
-1.05,0.01,81.95,30.46,2026/08/12,04:44:55
-1.4,0.01,82.98,30.38,2026/08/12,05:40:19
34.39,0.07,84.41,30.59,2026/08/12,06:39:18
550.53,2.9,72.79,34.19,2026/08/12,08:51:38
780.35,7.93,63.1,36.82,2026/08/12,11:01:14
1246.32,12.86,59.75,38.01,2026/08/12,12:47:27
162.11,2.07,65.18,36.43,2026/08/12,13:39:44
182.11,2.36,67.03,36.06,2026/08/12,13:40:46
258.95,2.88,78.21,33.52,2026/08/12,14:06:56
181.05,1.3,86.62,32.29,2026/08/12,15:47:58
132.63,0.65,77.68,32.78,2026/08/12,16:49:01
95.44,0.21,81.03,32.11,2026/08/12,17:45:07
14.04,0.02,81.83,31.6,2026/08/12,18:32:17
-1.75,0.01,84.84,31.03,2026/08/12,19:28:10
-2.11,0.01,87.48,30.64,2026/08/12,20:56:44
-2.11,0.01,88.38,30.46,2026/08/12,21:52:14
-2.11,0.01,88.16,30.45,2026/08/12,22:51:19
